time,latitude,longitude,precip
UTC,degrees_north,degrees_east,mm/day
2013-01-01T00:00:00Z,29.574997,80.42499,0.0
2013-01-02T00:00:00Z,29.574997,80.42499,0.0
2013-01-03T00:00:00Z,29.574997,80.42499,0.0
2013-01-04T00:00:00Z,29.574997,80.42499,0.0
2013-01-05T00:00:00Z,29.574997,80.42499,0.0
2013-01-06T00:00:00Z,29.574997,80.42499,0.0
2013-01-07T00:00:00Z,29.574997,80.42499,0.0
2013-01-08T00:00:00Z,29.574997,80.42499,0.0
2013-01-09T00:00:00Z,29.574997,80.42499,0.0
2013-01-10T00:00:00Z,29.574997,80.42499,0.0
2013-01-11T00:00:00Z,29.574997,80.42499,0.0
2013-01-12T00:00:00Z,29.574997,80.42499,0.0
2013-01-13T00:00:00Z,29.574997,80.42499,0.0
2013-01-14T00:00:00Z,29.574997,80.42499,0.0
2013-01-15T00:00:00Z,29.574997,80.42499,0.0
2013-01-16T00:00:00Z,29.574997,80.42499,0.0
2013-01-17T00:00:00Z,29.574997,80.42499,7.4123635
2013-01-18T00:00:00Z,29.574997,80.42499,29.649454
2013-01-19T00:00:00Z,29.574997,80.42499,0.0
2013-01-20T00:00:00Z,29.574997,80.42499,0.0
2013-01-21T00:00:00Z,29.574997,80.42499,0.0
2013-01-22T00:00:00Z,29.574997,80.42499,0.0
2013-01-23T00:00:00Z,29.574997,80.42499,0.0
2013-01-24T00:00:00Z,29.574997,80.42499,0.0
2013-01-25T00:00:00Z,29.574997,80.42499,0.0
2013-01-26T00:00:00Z,29.574997,80.42499,0.0
2013-01-27T00:00:00Z,29.574997,80.42499,0.0
2013-01-28T00:00:00Z,29.574997,80.42499,0.0
2013-01-29T00:00:00Z,29.574997,80.42499,0.0
2013-01-30T00:00:00Z,29.574997,80.42499,0.0
2013-01-31T00:00:00Z,29.574997,80.42499,0.0
2013-02-01T00:00:00Z,29.574997,80.42499,0.0
2013-02-02T00:00:00Z,29.574997,80.42499,0.0
2013-02-03T00:00:00Z,29.574997,80.42499,0.0
2013-02-04T00:00:00Z,29.574997,80.42499,0.0
2013-02-05T00:00:00Z,29.574997,80.42499,50.915524
2013-02-06T00:00:00Z,29.574997,80.42499,0.0
2013-02-07T00:00:00Z,29.574997,80.42499,0.0
2013-02-08T00:00:00Z,29.574997,80.42499,0.0
2013-02-09T00:00:00Z,29.574997,80.42499,0.0
2013-02-10T00:00:00Z,29.574997,80.42499,0.0
2013-02-11T00:00:00Z,29.574997,80.42499,0.0
2013-02-12T00:00:00Z,29.574997,80.42499,5.31652
2013-02-13T00:00:00Z,29.574997,80.42499,0.0
2013-02-14T00:00:00Z,29.574997,80.42499,0.0
